Name: juniyasyos/nexaid
Version: dev-main 4e49aef
Licenses: proprietary
Dependencies:

Name                                        Version    Licenses                                 
alkoumi/filament-image-radio-button         v2.0.3     MIT                                      
andreiio/blade-remix-icon                   3.9.1      MIT                                      
aws/aws-crt-php                             v1.2.7     Apache-2.0                               
aws/aws-sdk-php                             3.381.0    Apache-2.0                               
bacon/bacon-qr-code                         v3.1.1     BSD-2-Clause                             
barryvdh/laravel-debugbar                   v3.16.5    MIT                                      
blade-ui-kit/blade-heroicons                2.7.0      MIT                                      
blade-ui-kit/blade-icons                    1.10.0     MIT                                      
brianium/paratest                           v7.20.0    MIT                                      
brick/math                                  0.14.8     MIT                                      
carbonphp/carbon-doctrine-types             3.2.0      MIT                                      
chillerlan/php-qrcode                       5.0.5      MIT, Apache-2.0                          
chillerlan/php-settings-container           3.3.0      MIT                                      
composer/pcre                               3.3.2      MIT                                      
composer/semver                             3.4.4      MIT                                      
composer/xdebug-handler                     3.0.5      MIT                                      
danharrin/date-format-converter             v0.3.1     MIT                                      
danharrin/livewire-rate-limiting            v2.2.0     MIT                                      
dasprid/enum                                1.0.7      BSD-2-Clause                             
defuse/php-encryption                       v2.4.0     MIT                                      
dflydev/dot-access-data                     v3.0.3     MIT                                      
doctrine/deprecations                       1.1.6      MIT                                      
doctrine/inflector                          2.1.0      MIT                                      
doctrine/lexer                              3.0.1      MIT                                      
dragonmantank/cron-expression               v3.6.0     MIT                                      
egulias/email-validator                     4.0.4      MIT                                      
fakerphp/faker                              v1.24.1    MIT                                      
fidry/cpu-core-counter                      1.3.0      MIT                                      
filament/actions                            v4.11.3    MIT                                      
filament/filament                           v4.11.3    MIT                                      
filament/forms                              v4.11.3    MIT                                      
filament/infolists                          v4.11.3    MIT                                      
filament/notifications                      v4.11.3    MIT                                      
filament/query-builder                      v4.11.3    MIT                                      
filament/schemas                            v4.11.3    MIT                                      
filament/support                            v4.11.3    MIT                                      
filament/tables                             v4.11.3    MIT                                      
filament/widgets                            v4.11.3    MIT                                      
filp/whoops                                 2.18.4     MIT                                      
firebase/php-jwt                            v7.0.5     BSD-3-Clause                             
fruitcake/php-cors                          v1.4.0     MIT                                      
graham-campbell/result-type                 v1.1.4     MIT                                      
guava/filament-modal-relation-managers      2.0.0      MIT                                      
guzzlehttp/guzzle                           7.10.0     MIT                                      
guzzlehttp/promises                         2.3.0      MIT                                      
guzzlehttp/psr7                             2.9.0      MIT                                      
guzzlehttp/uri-template                     v1.0.5     MIT                                      
hamcrest/hamcrest-php                       v2.1.1     BSD-3-Clause                             
inertiajs/inertia-laravel                   v2.0.24    MIT                                      
jean85/pretty-package-versions              2.1.1      MIT                                      
kirschbaum-development/eloquent-power-joins 4.3.1      MIT                                      
lab404/laravel-impersonate                  1.7.8      MIT                                      
laravel/fortify                             v1.37.0    MIT                                      
laravel/framework                           v12.58.0   MIT                                      
laravel/pail                                v1.2.6     MIT                                      
laravel/passkeys                            v0.1.0     MIT                                      
laravel/passport                            v12.4.3    MIT                                      
laravel/pint                                v1.29.1    MIT                                      
laravel/prompts                             v0.3.17    MIT                                      
laravel/sail                                v1.59.0    MIT                                      
laravel/serializable-closure                v2.0.13    MIT                                      
laravel/tinker                              v2.11.1    MIT                                      
laravel/wayfinder                           v0.1.20    MIT                                      
lcobucci/clock                              3.6.0      MIT                                      
lcobucci/jwt                                5.6.0      BSD-3-Clause                             
league/commonmark                           2.8.2      BSD-3-Clause                             
league/config                               v1.2.0     BSD-3-Clause                             
league/csv                                  9.28.0     MIT                                      
league/event                                2.3.0      MIT                                      
league/flysystem                            3.33.0     MIT                                      
league/flysystem-aws-s3-v3                  3.32.0     MIT                                      
league/flysystem-local                      3.31.0     MIT                                      
league/mime-type-detection                  1.16.0     MIT                                      
league/oauth2-server                        8.5.5      MIT                                      
league/uri                                  7.8.1      MIT                                      
league/uri-components                       7.8.1      MIT                                      
league/uri-interfaces                       7.8.1      MIT                                      
leandrocfe/filament-apex-charts             5.1.0      MIT                                      
livewire/livewire                           v3.8.0     MIT                                      
maennchen/zipstream-php                     3.2.2      MIT                                      
mockery/mockery                             1.6.12     BSD-3-Clause                             
monolog/monolog                             3.10.0     MIT                                      
mtdowling/jmespath.php                      2.8.0      MIT                                      
myclabs/deep-copy                           1.13.4     MIT                                      
nesbot/carbon                               3.11.4     MIT                                      
nette/php-generator                         v4.2.2     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nette/schema                                v1.3.5     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nette/utils                                 v4.1.4     BSD-3-Clause, GPL-2.0-only, GPL-3.0-only 
nikic/php-parser                            v5.7.0     BSD-3-Clause                             
nunomaduro/collision                        v8.9.4     MIT                                      
nunomaduro/termwind                         v2.4.0     MIT                                      
nyholm/psr7                                 1.8.2      MIT                                      
openspout/openspout                         v4.32.0    MIT                                      
paragonie/constant_time_encoding            v3.1.3     MIT                                      
paragonie/random_compat                     v9.99.100  MIT                                      
pestphp/pest                                v4.7.0     MIT                                      
pestphp/pest-plugin                         v4.0.0     MIT                                      
pestphp/pest-plugin-arch                    v4.0.2     MIT                                      
pestphp/pest-plugin-laravel                 v4.1.0     MIT                                      
pestphp/pest-plugin-mutate                  v4.0.1     MIT                                      
pestphp/pest-plugin-profanity               v4.2.1     MIT                                      
phar-io/manifest                            2.0.4      BSD-3-Clause                             
phar-io/version                             3.2.1      BSD-3-Clause                             
php-debugbar/php-debugbar                   v2.2.6     MIT                                      
phpdocumentor/reflection-common             2.2.0      MIT                                      
phpdocumentor/reflection-docblock           5.6.7      MIT                                      
phpdocumentor/type-resolver                 1.12.0     MIT                                      
phpoption/phpoption                         1.9.5      Apache-2.0                               
phpseclib/phpseclib                         3.0.52     MIT                                      
phpstan/phpdoc-parser                       2.3.2      MIT                                      
phpunit/php-code-coverage                   12.5.6     BSD-3-Clause                             
phpunit/php-file-iterator                   6.0.1      BSD-3-Clause                             
phpunit/php-invoker                         6.0.0      BSD-3-Clause                             
phpunit/php-text-template                   5.0.0      BSD-3-Clause                             
phpunit/php-timer                           8.0.0      BSD-3-Clause                             
phpunit/phpunit                             12.5.24    BSD-3-Clause                             
pragmarx/google2fa                          v9.0.0     MIT                                      
pragmarx/google2fa-qrcode                   v3.0.0     MIT                                      
psr/clock                                   1.0.0      MIT                                      
psr/container                               2.0.2      MIT                                      
psr/event-dispatcher                        1.0.0      MIT                                      
psr/http-client                             1.0.3      MIT                                      
psr/http-factory                            1.1.0      MIT                                      
psr/http-message                            2.0        MIT                                      
psr/log                                     3.0.2      MIT                                      
psr/simple-cache                            3.0.0      MIT                                      
psy/psysh                                   v0.12.22   MIT                                      
ralouphie/getallheaders                     3.0.3      MIT                                      
ramsey/collection                           2.1.1      MIT                                      
ramsey/uuid                                 4.9.2      MIT                                      
ryangjchandler/blade-capture-directive      v1.1.1     MIT                                      
scrivo/highlight.php                        v9.18.1.10 BSD-3-Clause                             
sebastian/cli-parser                        4.2.0      BSD-3-Clause                             
sebastian/comparator                        7.1.6      BSD-3-Clause                             
sebastian/complexity                        5.0.0      BSD-3-Clause                             
